experiment_name,model_name,tfidf_variant,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,negative_f1,positive_f1,training_time_seconds
logistic_regression__real_word_char_hybrid,logistic_regression,real_word_char_hybrid,0.7991467773550098,0.7945554561093922,0.7978686477111611,0.795826526645905,0.7997081578998584,0.7697898770979252,0.8218631761938848,38.492824
logistic_regression__unigram_bigram,logistic_regression,unigram_bigram,0.7920558053729967,0.7875161380274913,0.7912405838387102,0.7888388226743359,0.7927244449343718,0.7627754028280171,0.8149022425206548,8.409798100000001
sgd_classifier__real_word_char_hybrid,sgd_classifier,real_word_char_hybrid,0.781794073561628,0.7777001928660233,0.782327800701246,0.7789691322356709,0.7826944245706658,0.7539811504712383,0.8039571140001036,30.242425300000008
complement_nb__unigram_bigram,complement_nb,unigram_bigram,0.7811022714170414,0.7774639234706343,0.7826047586183267,0.7785864527922561,0.782105061209614,0.754984835774666,0.8021880698098464,7.854552600000005
linear_svc__real_word_char_hybrid,linear_svc,real_word_char_hybrid,0.782312925170068,0.7773527717131372,0.7794918576819724,0.7782638766498646,0.782730958336403,0.7483002266364485,0.8082275266632809,48.56835000000001
logistic_regression__basic_unigram,logistic_regression,basic_unigram,0.7806987201660325,0.7760281865917144,0.7795462295381532,0.7772770094888155,0.7813926112615054,0.7496709660436958,0.8048830529339351,3.960337
complement_nb__real_word_char_hybrid,complement_nb,real_word_char_hybrid,0.778565663553557,0.7752428574105377,0.7806082142699813,0.7762063980308739,0.7796320356735794,0.7532283970446515,0.7991843990170963,27.504616000000027
linear_svc__unigram_bigram,linear_svc,unigram_bigram,0.7787962642684192,0.7738447630630816,0.7763611319135467,0.7748690306614032,0.7793019534495933,0.7451345068083693,0.804603554514437,10.856778200000008
linear_svc__basic_unigram,linear_svc,basic_unigram,0.7693416349590684,0.7645565304529054,0.7679221956277359,0.7657393212239452,0.770070136342043,0.7366897005593945,0.7947889418884957,7.0931725999999955
sgd_classifier__basic_unigram,sgd_classifier,basic_unigram,0.7670932779891617,0.7633270911627507,0.7681454751031556,0.7643723351952572,0.7681472054018221,0.7390518020927529,0.7896928682977615,2.9451205000000016
sgd_classifier__unigram_bigram,sgd_classifier,unigram_bigram,0.7665744263807218,0.7634378392379314,0.768713585540431,0.7642044937313501,0.7677287294020086,0.7405651310309477,0.7878438564317527,7.860680300000013
complement_nb__basic_unigram,complement_nb,basic_unigram,0.7617894615473308,0.7576376183709717,0.7620003132602067,0.758753133658794,0.7627880483143726,0.7316883116883117,0.7858179556292764,2.437829100000016
